,day,month,year,latitude,longitude,Specie
96,28,4,2024,22.4293171,88.4006846,Aedes albopictus  
97,5,5,2024,30.6140483,-92.0484538997,Aedes albopictus  
98,10,5,2024,32.4208166667,-81.7900633333,Aedes albopictus  
99,19,4,2024,41.56222833,2.0227218792,Aedes albopictus  
100,16,5,2024,33.2653783333,-88.0897305,Aedes albopictus  
101,2,5,2024,32.5512866667,-94.7937383333,Aedes albopictus  
102,15,5,2024,30.4380825356,-84.2806234583,Aedes albopictus  
103,15,5,2024,15.6658666667,-96.5512866667,Aedes albopictus  
104,8,5,2024,39.5879666667,-75.7451033333,Aedes albopictus  
105,1,5,2024,41.275810186,-81.8744742443,Aedes albopictus  
106,10,5,2024,39.1580141189,-76.7192611583,Aedes albopictus  
107,21,5,2024,38.9588366667,-77.0809861667,Aedes albopictus  
108,16,5,2024,34.21025,-87.9071583333,Aedes albopictus  
109,1,5,2024,33.7826956577,-84.2906715596,Aedes albopictus  
110,15,5,2024,40.43645,-79.883095,Aedes albopictus  
111,29,4,2024,1.557095,103.6361166667,Aedes albopictus  
112,16,5,2024,34.2630500037,-77.8653125837,Aedes albopictus  
113,29,4,2024,1.5569366667,103.6366283333,Aedes albopictus  
114,21,5,2024,30.4698374938,-83.8521272684,Aedes albopictus  
115,16,5,2024,39.1541528333,-76.6794883333,Aedes albopictus  
116,28,4,2024,22.5799383333,114.176025,Aedes albopictus  
117,16,5,2024,41.403244,19.4073963056,Aedes albopictus  
118,28,5,2024,45.2109748138,8.867253429,Aedes albopictus  
119,8,5,2024,22.9882416667,113.3147972222,Aedes albopictus  
120,17,5,2024,30.4517077355,-97.6797888914,Aedes albopictus  
121,17,5,2024,30.2085514069,-97.7683486938,Aedes albopictus  
122,17,5,2024,45.0453555,-73.314675,Aedes albopictus  
123,8,5,2024,25.0265664608,118.7896922977,Aedes albopictus  
124,14,5,2024,35.2127083333,-97.4278116667,Aedes albopictus  
125,23,5,2024,3.5973031679,102.539124135,Aedes albopictus  
126,11,5,2024,22.7320347616,113.92016827,Aedes albopictus  
127,27,4,2024,38.2085479775,15.2566509694,Aedes albopictus  
128,21,5,2024,35.7251358032,139.770614624,Aedes albopictus  
129,28,5,2024,14.7846083333,-91.9823222222,Aedes albopictus  
130,28,5,2024,14.7846111111,-91.9823222222,Aedes albopictus  
131,28,5,2024,14.7845916667,-91.9822666667,Aedes albopictus  
132,24,5,2024,39.6285241982,-79.9559365959,Aedes albopictus  
133,17,5,2024,29.646456236,-82.3801310318,Aedes albopictus  
134,17,5,2024,38.2909545898,-85.8306655884,Aedes albopictus  
135,15,5,2024,39.6190685185,-84.1667450428,Aedes albopictus  
136,17,5,2024,39.6777524605,-75.750667812,Aedes albopictus  
137,28,5,2024,45.48401332,12.41642602,Aedes albopictus  
138,10,5,2024,41.7278644254,44.7274226169,Aedes albopictus  
139,27,5,2024,33.1361700847,-96.5628900173,Aedes albopictus  
140,20,5,2024,35.4268742567,-77.6940884643,Aedes albopictus  
141,27,5,2024,33.1361124071,-96.5619949592,Aedes albopictus  
142,20,5,2024,39.4163132292,-84.3299590469,Aedes albopictus  
143,30,4,2024,48.8458633333,2.2664783333,Aedes albopictus  
144,1,5,2024,60.4952163696,-149.7087860107,Aedes albopictus  
145,28,5,2024,13.7142716404,100.523495874,Aedes albopictus  
146,10,5,2024,47.5666181987,7.5942471865,Aedes albopictus  
147,17,5,2024,23.1034648574,113.0203739459,Aedes albopictus  
148,24,5,2024,38.1007689937,23.7631430483,Aedes albopictus  
149,16,5,2024,29.3276883333,-98.49688,Aedes albopictus  
150,10,5,2024,44.2935348997,0.0395553997,Aedes albopictus  
151,27,5,2024,38.7936062702,-77.2862945616,Aedes albopictus  
152,14,5,2024,19.8084651642,-155.0929814827,Aedes albopictus  
153,27,5,2024,33.4134216667,-86.7136916667,Aedes albopictus  
154,31,5,2024,33.45323255,-88.84021494,Aedes albopictus  
155,31,5,2024,33.45320453,-88.84021663,Aedes albopictus  
156,27,5,2024,35.4728149439,-97.5951536992,Aedes albopictus  
157,25,5,2024,33.8034071397,-83.287416036,Aedes albopictus  
158,31,5,2024,33.45319536,-88.84022965,Aedes albopictus  
159,31,5,2024,33.45320434,-88.84019553,Aedes albopictus  
160,27,5,2024,34.2630500037,-77.8653125837,Aedes albopictus  
161,29,2,2024,7.7465283333,98.781555,Aedes albopictus  
162,21,5,2024,22.354335,113.514759,Aedes albopictus  
163,31,5,2024,43.0946299334,10.5466919392,Aedes albopictus  
164,18,9,2023,41.9019166667,8.63542,Aedes albopictus  
165,25,5,2024,27.3795471191,-82.4628219604,Aedes albopictus  
166,19,5,2024,33.51603,-86.7442866667,Aedes albopictus  
167,17,5,2024,1.2955525232,103.7785380394,Aedes albopictus  
168,27,5,2024,27.2462408348,111.4757880941,Aedes albopictus  
169,20,5,2024,50.1108436584,8.6124591827,Aedes albopictus  
170,27,5,2024,40.684088153,-73.5233113442,Aedes albopictus  
171,27,5,2024,32.1179583333,34.8444972222,Aedes albopictus  
172,14,5,2024,31.3453055756,-89.4047218532,Aedes albopictus  
173,26,5,2024,34.1019083333,-117.6233,Aedes albopictus  
174,28,5,2024,43.630068,7.1278569722,Aedes albopictus  
175,23,5,2024,22.3493823084,114.1034234749,Aedes albopictus  
176,17,5,2024,2.7001833333,101.9055083333,Aedes albopictus  
177,29,5,2024,44.4262039111,8.8219349833,Aedes albopictus  
178,26,5,2024,40.9040305556,-73.8934638889,Aedes albopictus  
179,25,5,2024,32.7509716667,-97.274795,Aedes albopictus  
180,21,5,2024,39.102909766,-77.1635721138,Aedes albopictus  
181,28,5,2024,31.9032611111,34.8112416667,Aedes albopictus  
182,26,5,2024,33.4133033333,-86.7137533333,Aedes albopictus  
183,30,5,2024,37.5517385329,126.9917935878,Aedes albopictus  
184,5,6,2024,43.1948421855,25.6323844716,Aedes albopictus  
185,3,6,2024,40.7806627848,-73.9711997285,Aedes albopictus  
186,25,5,2024,39.1583674036,-94.9899119187,Aedes albopictus  
187,27,5,2024,49.2059088755,16.6677101701,Aedes albopictus  
188,26,5,2024,34.160141196,-84.4229197231,Aedes albopictus  
189,22,5,2024,30.3044872949,-81.6272571354,Aedes albopictus  
190,1,6,2024,29.7783717871,-95.4609095121,Aedes albopictus  
191,29,5,2024,32.1185027778,34.8444472222,Aedes albopictus  
192,6,6,2024,46.0682591715,4.6874177456,Aedes albopictus  
193,30,5,2024,30.2432464705,-81.8107540327,Aedes albopictus  
194,25,5,2024,30.3427053988,-95.2517557797,Aedes albopictus  
195,25,5,2024,30.3426091327,-95.2518540156,Aedes albopictus  
196,23,5,2024,39.162468,-76.64315,Aedes albopictus  
197,29,5,2024,1.383684504,103.9460408315,Aedes albopictus  
198,6,6,2024,45.8191904856,15.9080267698,Aedes albopictus  
199,26,5,2024,41.4949036187,2.3729468486,Aedes albopictus  
200,25,5,2024,43.118088722,0.1044844463,Aedes albopictus  
201,20,5,2024,35.4489838518,-97.3737069236,Aedes albopictus  
202,3,6,2024,48.8135635694,2.4954847167,Aedes albopictus  
203,6,6,2024,44.7796283333,20.433805,Aedes albopictus  
204,30,5,2024,36.1206945,-85.5123533333,Aedes albopictus  
205,30,5,2024,33.45325671,-88.83998412,Aedes albopictus  
206,22,5,2024,1.4425909443,103.9329793417,Aedes albopictus  
207,23,5,2024,34.622044,-92.4802909,Aedes albopictus  
208,21,5,2024,31.9567470278,-89.6590118333,Aedes albopictus  
209,25,5,2024,35.5386657715,-82.9362258911,Aedes albopictus  
210,10,6,2024,1.7623782606,104.0810716152,Aedes albopictus  
211,26,5,2024,8.4940527778,77.0108527778,Aedes albopictus  
212,6,6,2024,-16.9657515065,-49.2314231023,Aedes albopictus  
213,24,5,2023,8.8389371667,-82.9925140366,Aedes albopictus  
214,6,6,2024,35.64846918,139.43815843,Aedes albopictus  
215,5,6,2024,35.8129654972,139.5634614568,Aedes albopictus  
216,20,5,2024,22.4716183333,114.0089016667,Aedes albopictus  
217,24,5,2024,41.6781401157,-81.4047459647,Aedes albopictus  
218,30,5,2024,3.7884736349,101.2768332176,Aedes albopictus  
219,29,5,2024,33.9452029697,-83.4120249962,Aedes albopictus  
220,21,5,2024,34.0892727867,-84.0211560517,Aedes albopictus  
221,24,5,2024,33.413345,-86.7136083333,Aedes albopictus  
222,30,5,2024,32.0480694444,34.7716583333,Aedes albopictus  
223,26,5,2024,40.3287106479,-75.0672954974,Aedes albopictus  
224,4,6,2024,25.973326,119.941137,Aedes albopictus  
225,5,6,2024,6.2701693,-75.5648326997,Aedes albopictus  
226,30,5,2024,10.4266033333,76.0986721667,Aedes albopictus  
227,4,6,2024,48.8567891,9.1821121,Aedes albopictus  
228,4,6,2024,40.299987793,-74.1387710571,Aedes albopictus  
229,4,6,2024,35.8756952219,-81.5039041563,Aedes albopictus  
230,24,5,2024,37.3834150441,-5.9644516557,Aedes albopictus  
231,24,5,2024,20.4650053812,-105.2917372808,Aedes albopictus  
232,25,5,2024,35.0426583333,-85.2125138889,Aedes albopictus  
233,9,6,2024,38.9691528,-76.5134341,Aedes albopictus  
234,24,5,2024,43.5714424,7.1122171997,Aedes albopictus  
235,1,6,2024,42.3241630945,3.0946814377,Aedes albopictus  
236,9,6,2024,38.9044616667,-77.001625,Aedes albopictus  
237,28,4,2024,2.9561525493,11.9819047205,Aedes albopictus  
238,1,6,2024,32.475335,-97.0103181,Aedes albopictus  
239,4,6,2024,36.7635527919,22.941699475,Aedes albopictus  
240,15,9,2023,46.183125,6.2081583333,Aedes albopictus  
241,14,5,2024,40.4770757721,-74.4387919682,Aedes albopictus  
242,16,6,2024,25.055267334,121.4487991333,Aedes albopictus  
243,5,6,2024,-26.3744633333,-48.7229783333,Aedes albopictus  
244,4,6,2024,13.7293517429,100.5561211961,Aedes albopictus  
245,25,5,2024,34.0797653198,-83.8588562012,Aedes albopictus  
246,9,6,2024,24.444446031,118.232193559,Aedes albopictus  
247,16,6,2024,24.450155,118.3345033333,Aedes albopictus  
