,day,month,year,latitude,longitude,Specie
3931,27,6,2019,20.8570256471,-98.444933187,Aedes aegypti  
3932,2,6,2020,33.9336175233,-117.950601235,Aedes aegypti  
3933,3,3,2020,21.1378709,-98.4148076,Aedes aegypti  
3934,7,5,2020,-15.73306667,-47.87627,Aedes aegypti  
3935,3,3,2020,21.1309,-98.4122999,Aedes aegypti  
3936,3,3,2020,21.1299638,-98.4115863,Aedes aegypti  
3937,25,6,2020,6.2144492114,-75.5661605671,Aedes aegypti  
3938,3,3,2020,21.136115,-98.429949,Aedes aegypti  
3939,3,3,2020,21.136085,-98.429672,Aedes aegypti  
3940,3,3,2020,21.136061,-98.429317,Aedes aegypti  
3941,3,3,2020,21.136061,-98.429317,Aedes aegypti  
3942,3,3,2020,21.134437,-98.427739,Aedes aegypti  
3943,3,3,2020,21.1352819,-98.4255575,Aedes aegypti  
3944,21,5,2020,0.0,0.0,Aedes aegypti  
3945,3,3,2020,21.1364629,-98.4247001,Aedes aegypti  
3946,3,3,2020,21.13645314,-98.4257141,Aedes aegypti  
3947,3,3,2020,21.1363768,-98.4257047,Aedes aegypti  
3948,29,4,2020,0.0,0.0,Aedes aegypti  
3949,28,2,2020,21.148405,-98.4165909,Aedes aegypti  
3950,28,2,2020,21.1525443,-98.411895,Aedes aegypti  
3951,28,2,2020,21.1528153,-98.4107967,Aedes aegypti  
3952,28,2,2020,21.1289846,-98.53945891,Aedes aegypti  
3953,15,5,2020,26.1102251713,-80.2364006979,Aedes aegypti  
3954,28,2,2020,21.1592166,-98.4165376,Aedes aegypti  
3955,28,2,2020,21.1604389,-98.421829,Aedes aegypti  
3956,24,4,2020,26.2315925,-98.2112162,Aedes aegypti  
3957,28,2,2020,21.1602231,-98.4185937,Aedes aegypti  
3958,3,5,2020,-22.4053169,-47.5476013,Aedes aegypti  
3959,6,5,2020,33.4819463381,-112.3034990273,Aedes aegypti  
3960,9,5,2020,30.2778953282,-97.7040623051,Aedes aegypti  
3961,25,4,2020,25.6631663609,-100.3661623461,Aedes aegypti  
3962,1,6,2020,21.153650125,-98.7972369576,Aedes aegypti  
3963,1,6,2020,21.153650125,-98.7972369576,Aedes aegypti  
3964,1,6,2020,21.153650125,-98.7972369576,Aedes aegypti  
3965,1,6,2020,21.1555720711,-98.8002010207,Aedes aegypti  
3966,25,4,2020,-34.06959,23.02389,Aedes aegypti  
3967,1,6,2020,21.1555720711,-98.8002010207,Aedes aegypti  
3968,1,6,2020,21.1555720711,-98.8002010207,Aedes aegypti  
3969,2,5,2020,8.9780221761,-79.5194711966,Aedes aegypti  
3970,1,6,2020,21.1555720711,-98.8002010207,Aedes aegypti  
3971,1,6,2020,21.1527635221,-98.7998850607,Aedes aegypti  
3972,2,3,2020,21.16597472,-98.66605806,Aedes aegypti  
3973,1,6,2020,21.1527635221,-98.7998850607,Aedes aegypti  
3974,2,3,2020,21.16511333,-98.66483028,Aedes aegypti  
3975,2,3,2020,21.0523198,-98.5087493,Aedes aegypti  
3976,2,3,2020,21.0530742,-98.5099785,Aedes aegypti  
3977,2,3,2020,21.0520954,-98.5107957,Aedes aegypti  
3978,2,3,2020,21.052334,-98.510233,Aedes aegypti  
3979,2,3,2020,21.058071,-98.503853,Aedes aegypti  
3980,2,3,2020,21.05439,-98.506574,Aedes aegypti  
3981,2,3,2020,21.054481,-98.50809,Aedes aegypti  
3982,2,3,2020,21.052763,-98.506983,Aedes aegypti  
3983,27,4,2020,-17.451896,-66.128383,Aedes aegypti  
3984,28,2,2020,21.111344,-98.49863056,Aedes aegypti  
3985,8,5,2020,-34.6181327145,-58.4173536322,Aedes aegypti  
3986,27,2,2020,21.133088,-98.552698,Aedes aegypti  
3987,30,6,2020,-12.0699510515,-76.950593479,Aedes aegypti  
3988,27,2,2020,21.132707,-98.552506,Aedes aegypti  
3989,14,6,2020,24.9023269157,-107.4314472212,Aedes aegypti  
3990,27,2,2020,21.132712,-98.55214,Aedes aegypti  
3991,28,5,2020,33.539963,-101.89526,Aedes aegypti  
3992,10,6,2020,33.481947558,-112.3034673371,Aedes aegypti  
3993,14,6,2020,29.91803,-90.1094055,Aedes aegypti  
3994,17,5,2020,20.0212117348,-98.7935612351,Aedes aegypti  
3995,28,6,2020,34.0953348387,-118.1327442405,Aedes aegypti  
3996,13,6,2020,30.45454,-97.798985,Aedes aegypti  
3997,23,6,2020,21.157976,-98.443114,Aedes aegypti  
3998,8,5,2020,29.58137833,-98.37206333,Aedes aegypti  
3999,23,6,2020,21.157849,-98.444644,Aedes aegypti  
4000,23,6,2020,21.15721,-98.444471,Aedes aegypti  
4001,23,6,2020,21.157496,-98.4444897,Aedes aegypti  
4002,23,6,2020,21.158049,-98.44474,Aedes aegypti  
4003,23,6,2020,21.15817,-98.445206,Aedes aegypti  
4004,23,6,2020,21.160677,-98.446237,Aedes aegypti  
4005,23,6,2020,21.160559,-98.445836,Aedes aegypti  
4006,23,6,2020,21.15895,-98.447175,Aedes aegypti  
4007,23,6,2020,21.158036,-98.447222,Aedes aegypti  
4008,23,6,2020,21.158316,-98.446954,Aedes aegypti  
4009,23,6,2020,21.157826,-98.445993,Aedes aegypti  
4010,23,6,2020,21.157025,-98.444987,Aedes aegypti  
4011,23,6,2020,21.158885,-98.445847,Aedes aegypti  
4012,23,6,2020,21.163544,-98.317596,Aedes aegypti  
4013,23,6,2020,21.162446,-98.318744,Aedes aegypti  
4014,18,5,2020,33.0930210625,-96.9936240867,Aedes aegypti  
4015,23,6,2020,21.161955,-98.319195,Aedes aegypti  
4016,23,6,2020,21.168853,-98.486086,Aedes aegypti  
4017,23,6,2020,21.169137,-98.485739,Aedes aegypti  
4018,23,6,2020,21.025247,-98.345818,Aedes aegypti  
4019,23,6,2020,21.025967,-98.343727,Aedes aegypti  
4020,23,6,2020,21.025363,-98.344274,Aedes aegypti  
4021,23,6,2020,21.024795,-98.345303,Aedes aegypti  
4022,23,6,2020,21.021339,-98.34572,Aedes aegypti  
4023,23,6,2020,21.021253,-98.347437,Aedes aegypti  
4024,23,6,2020,21.015587,-98.34789,Aedes aegypti  
4025,23,6,2020,21.017437,-98.347442,Aedes aegypti  
4026,23,6,2020,21.018663,-98.347177,Aedes aegypti  
4027,23,6,2020,21.016672,-98.346518,Aedes aegypti  
4028,23,6,2020,21.015952,-98.345968,Aedes aegypti  
4029,23,6,2020,21.01604,-98.344918,Aedes aegypti  
4030,23,6,2020,21.016253,-98.344883,Aedes aegypti  
4031,23,6,2020,21.01617,-98.346428,Aedes aegypti  
4032,23,6,2020,21.01851,-98.346053,Aedes aegypti  
4033,23,6,2020,21.018526,-98.343755,Aedes aegypti  
4034,1,10,2019,34.20528833,-117.36236667,Aedes aegypti  
4035,23,6,2020,21.018961,-98.345896,Aedes aegypti  
4036,12,6,2020,2.071804742,99.8296038093,Aedes aegypti  
4037,23,6,2020,21.024942,-98.340995,Aedes aegypti  
4038,23,6,2020,21.026029,-98.341838,Aedes aegypti  
4039,23,6,2020,21.019959,-98.345556,Aedes aegypti  
4040,22,6,2020,21.041872,-98.377765,Aedes aegypti  
4041,22,6,2020,21.039357,-98.376908,Aedes aegypti  
4042,22,6,2020,21.040788,-98.372123,Aedes aegypti  
4043,14,6,2020,25.62867167,-80.43123667,Aedes aegypti  
4044,11,6,2020,-28.6505345488,-53.593698606,Aedes aegypti  
4045,8,6,2020,37.0333662028,35.2842306863,Aedes aegypti  
4046,1,7,2020,-23.6110994128,-46.6905059355,Aedes aegypti  
4047,29,6,2020,21.0244806064,-98.4298819988,Aedes aegypti  
4048,30,6,2020,21.03266,-98.289133,Aedes aegypti  
4049,29,6,2020,21.0244664354,-98.4298960804,Aedes aegypti  
4050,8,7,2020,18.9475212094,-99.4993438719,Aedes aegypti  
4051,7,6,2020,34.23080833,-118.23548,Aedes aegypti  
4052,17,5,2020,33.1505484592,-96.9989374341,Aedes aegypti  
4053,30,6,2020,21.017225789,-98.4528654275,Aedes aegypti  
4054,21,5,2020,20.5819232409,-100.376069268,Aedes aegypti  
4055,17,5,2020,33.0511018954,-96.7982569283,Aedes aegypti  
4056,30,6,2020,21.031995,-98.290199,Aedes aegypti  
4057,30,6,2020,21.032143,-98.290144,Aedes aegypti  
4058,29,6,2020,21.015806,-98.394865,Aedes aegypti  
4059,29,6,2020,21.015302,-98.394653,Aedes aegypti  
4060,29,6,2020,21.015098,-98.397373,Aedes aegypti  
4061,29,6,2020,21.015226,-98.392812,Aedes aegypti  
4062,29,6,2020,21.015156,-98.392388,Aedes aegypti  
4063,7,7,2020,33.0433627107,-97.1787538721,Aedes aegypti  
4064,23,6,2020,33.2048813892,-111.8643392827,Aedes aegypti  
4065,3,7,2020,30.2779865916,-97.7040828687,Aedes aegypti  
4066,30,3,2020,20.9275883721,-98.4844449528,Aedes aegypti  
4067,1,8,2020,27.2996558,-82.5071179,Aedes aegypti  
